team_id,team_name,nickname,short_code,year_formed,squad_size,club_captain,mascot_name,mascot_description,home_shirt_details,away_shirt_details,third_strip_details,kit_manufacturer,main_shirt_sponsor,premiership_titles,last_premiership_title,european_champions_cup_titles,social_media_handle,official_website,chairperson,director_of_rugby,head_coach
bath_rugby,Bath Rugby,Bath,BAT,1865,38,Ben Spencer,Maximus,"An energetic lion wearing the club colors",Blue black and white horizontal stripes,Light grey with blue trim,Navy blue with gold accents,Castore,Dyson,6,1996,1,@BathRugby,https://www.bathrugby.com,Tarquin McDonald,Johann van Graan,Johann van Graan
bristol_bears,Bristol Bears,The Bears,BRI,1888,41,Fitz Harding,Brizzley,"A fierce brown bear wearing a Bears jersey",Navy blue with white and red accents,White with navy subtle patterning,Bright orange/teal alternate,Umbro,Topps Tiles,0,N/A,0,@BristolBears,https://www.bristolbearsrugby.com,Chris Booy,Pat Lam,Pat Lam
exeter_chiefs,Exeter Chiefs,Chiefs,EXE,1871,44,Dafydd Jenkins,N/A,"Mascot retired in 2020",All black with gold and white trim,All white with black trim,Cyan blue with dark blue details,Adidas,Troy,2,2020,1,@ExeterChiefs,https://www.exeterchiefs.co.uk,Tony Rowe,Rob Baxter,Rob Baxter
gloucester_rugby,Gloucester Rugby,The Cherry and Whites,GLO,1873,40,Lewis Ludlow,Kingsley,"A lion with a cherry-red mane wearing the team kit",Cherry red and white hoops,Black with cherry red side panels,Teal/mint green alternate,Oxen,BiGDUG,0,N/A,0,@GloucesterRugby,https://www.gloucesterrugby.co.uk,Martin St Quinton,George Skivington,George Skivington
harlequins,Harlequins,Quins,HAR,1866,42,Alex Dombrandt,Harley & Charley,"A joker/jester pair wearing four-quadrant quarters",Quartered shirt (chocolate brown magenta baby blue green),Green and blue patterned alternate,Charcoal grey with bright pink trim,Castore,DHL,2,2021,0,@Harlequins,https://www.quins.co.uk,Laurie Dalrymple,Billy Millard,Danny Wilson
leicester_tigers,Leicester Tigers,Tigers,LEI,1880,45,Julian Montoya,Welford,"An anthropomorphic tiger named after their home ground",Green red and white horizontal stripes,Off-white with subtle green tiger stripes,Dark navy with scarlet highlights,Samurai,Topps Tiles,11,2022,2,@LeicesterTigers,https://www.leicestertigers.com,Peter Tom,Michael Cheika,Michael Cheika
newcastle_falcons,Newcastle Falcons,Falcons,NEW,1877,37,Callum Chick,Flash,"A peregrine falcon wearing rugby gear",Black with white collar and trim,White with black chevron across chest,High-vis yellow with black accents,VX3,GIPA,1,1998,0,@FalconsRugby,https://www.newcastlefalcons.co.uk,Semore Kurdi,Steve Diamond,Steve Diamond
northampton_saints,Northampton Saints,Saints,NOR,1880,43,George Furbank,Bernie,"A giant dog (Saint Bernard) mascot",Black green and gold hoops,White with green and gold chest bands,Emerald green with gold detailing,Macron,cinch,2,2024,1,@SaintsRugby,https://www.northampton-saints.co.uk,John White,Phil Dowson,Sam Vesty
sale_sharks,Sale Sharks,Sharks,SAL,1861,39,Ben Curry,Sharky,"A blue shark wearing a Sale Sharks kit",Navy blue with white side panels,Cyan blue with dark navy sleeve detail,White with navy chest wave,Macron,Frankly,1,2006,0,@SaleSharksRugby,https://www.salesharks.com,Paul O'Neill,Alex Sanderson,Alex Sanderson
saracens,Saracens,Sarries,SAR,1876,40,Maro Itoje,Sarrie,"A friendly camel wearing a red fez and team kit",Black with red star and crescent motif,Red with black shoulder trim,Light grey/silver with red details,Castore,City Index,6,2023,3,@Saracens,https://www.saracens.com,Dominic Silvester,Mark McCall,Mark McCall
